node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44930          44193     737            22        656       71        490       1000      1000      45        
node_1         topic_10       102400    44937          44171     766            15        720       59        530       1000      1000      45        
node_2         topic_10       102400    44942          43964     978            10        757       60        573       1000      1000      45        
node_3         topic_10       102400    44939          44498     441            13        538       80        439       1000      1000      45        
node_4         topic_10       102400    44931          44100     831            21        790       58        603       1000      1000      45        
node_5         topic_10       102400    44947          43506     1441           5         825       58        629       1000      1000      45        
node_6         topic_10       102400    44939          43624     1315           13        717       110       477       1000      1000      45        
node_7         topic_10       102400    44897          41306     3591           55        872       45        693       1000      1000      45        
node_8         topic_10       102400    44914          42924     1990           38        819       102       510       1000      1000      45        
node_9         topic_10       102400    44922          35678     9244           30        925       30        723       1000      1000      45        
