node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_9        102400    44942          44822     120            3         480       61        400       984       1000      45        
node_1         topic_9        102400    44932          44762     170            13        569       47        445       989       1000      45        
node_2         topic_9        102400    44944          44771     173            1         634       49        484       1000      1000      45        
node_3         topic_9        102400    44944          44707     237            1         679       51        479       1000      1000      45        
node_4         topic_9        102400    44936          44678     258            9         713       51        563       1000      1000      45        
node_5         topic_9        102400    44926          44597     329            19        747       50        592       1000      1000      45        
node_6         topic_9        102400    44937          44658     279            8         694       84        461       1000      1000      45        
node_7         topic_9        102400    44937          44250     687            8         802       43        631       1000      1000      45        
node_8         topic_9        102400    44926          43527     1399           18        834       42        633       1000      1000      45        
