node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44947          44603     344            6         518       62        440       997       1000      45        
node_1         topic_10       102400    44940          44395     545            13        683       78        552       1000      1000      45        
node_2         topic_10       102400    44946          44343     603            7         720       73        576       1000      1000      45        
node_3         topic_10       102400    44943          44339     604            10        667       73        460       1000      1000      45        
node_4         topic_10       102400    44938          43860     1078           15        773       64        626       1000      1000      45        
node_5         topic_10       102400    44946          44413     533            7         741       67        504       999       1000      45        
node_6         topic_10       102400    44934          43569     1365           19        795       61        547       1000      1000      45        
node_7         topic_10       102400    44943          42205     2738           10        857       41        720       1000      1000      45        
node_8         topic_10       102400    44944          41269     3675           9         877       46        609       1000      1000      45        
node_9         topic_10       102400    44943          36505     8438           10        918       30        729       1000      1000      45        
