node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44931          44601     330            14        514       60        437       998       1000      45        
node_1         topic_10       102400    44919          44389     530            26        678       75        555       1000      1000      45        
node_2         topic_10       102400    44921          44435     486            24        645       60        471       1000      1000      45        
node_3         topic_10       102400    44928          44549     379            17        693       46        495       999       1000      45        
node_4         topic_10       102400    44915          44058     857            30        741       50        524       1000      1000      45        
node_5         topic_10       102400    44920          43725     1195           25        790       47        651       1000      1000      45        
node_6         topic_10       102400    44903          43836     1067           42        817       41        565       1000      1000      45        
node_7         topic_10       102400    44920          42661     2259           25        854       39        658       1000      1000      45        
node_8         topic_10       102400    44923          41067     3856           22        885       37        601       1000      1000      45        
node_9         topic_10       102400    44912          36749     8163           33        916       31        721       1000      1000      45        
