node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    44957          44924     33             0         409       45        328       991       1000      45        
node_1         topic_7        102400    44957          44894     63             0         528       57        409       996       1000      45        
node_2         topic_7        102400    44951          44844     107            6         576       59        423       999       1000      45        
node_3         topic_7        102400    44896          44777     119            60        614       62        468       997       1000      45        
node_4         topic_7        102400    44897          44809     88             59        551       69        363       1000      1000      45        
node_5         topic_7        102400    44898          44771     127            58        663       52        529       998       1000      45        
node_6         topic_7        102400    44887          44773     114            69        625       73        402       1000      1000      45        
