node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_4        102400    44922          44834     88             6         312       47        237       944       1000      45        
node_1         topic_4        102400    44911          44810     101            17        383       49        278       984       1000      45        
node_2         topic_4        102400    44924          44809     115            4         424       51        308       989       1000      45        
node_3         topic_4        102400    44922          44793     129            6         435       47        304       975       1000      45        
