node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    44915          44694     221            12        377       50        299       1000      1000      45        
node_1         topic_6        102400    44895          44659     236            32        465       42        348       968       1000      45        
node_2         topic_6        102400    44911          44653     258            16        487       47        335       1000      1000      45        
node_3         topic_6        102400    44914          44645     269            13        535       40        386       990       1000      45        
node_4         topic_6        102400    44903          44629     274            24        575       45        401       992       1000      45        
node_5         topic_6        102400    44909          44589     320            18        610       46        471       999       1000      45        
