node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44933          44615     318            19        527       56        446       992       1000      45        
node_1         topic_10       102400    44928          44402     526            24        694       67        543       1000      1000      45        
node_2         topic_10       102400    44935          44319     616            17        735       67        551       1000      1000      45        
node_3         topic_10       102400    44927          44358     569            25        673       72        480       1000      1000      45        
node_4         topic_10       102400    44937          44539     398            15        735       55        512       999       1000      45        
node_5         topic_10       102400    44931          44109     822            20        809       45        692       1000      1000      45        
node_6         topic_10       102400    44932          43322     1610           19        843       44        701       1000      1000      45        
node_7         topic_10       102400    44927          41855     3072           24        874       42        694       1000      1000      45        
node_8         topic_10       102400    44928          41333     3595           24        860       80        579       1000      1000      45        
node_9         topic_10       102400    44945          34970     9975           6         930       28        639       1000      1000      45        
