node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    1595           0         1595           43014     nan       nan       nan       nan       1000      45        
node_0         topic_11       102400    1594           0         1594           42308     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    1595           0         1595           43016     nan       nan       nan       nan       1000      45        
node_1         topic_11       102400    1594           0         1594           42310     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    1595           0         1595           43018     nan       nan       nan       nan       1000      45        
node_2         topic_11       102400    1594           0         1594           42312     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    1595           0         1595           43020     nan       nan       nan       nan       1000      45        
node_3         topic_11       102400    1594           0         1594           42314     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    1595           0         1595           43022     nan       nan       nan       nan       1000      45        
node_4         topic_11       102400    1594           0         1594           42316     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    1594           0         1594           43003     nan       nan       nan       nan       1000      45        
node_5         topic_11       102400    1593           0         1593           42298     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    1594           0         1594           43006     nan       nan       nan       nan       1000      45        
node_6         topic_11       102400    1593           0         1593           42300     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    1594           0         1594           43008     nan       nan       nan       nan       1000      45        
node_7         topic_11       102400    1593           0         1593           42302     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    1594           0         1594           43010     nan       nan       nan       nan       1000      45        
node_8         topic_11       102400    1593           0         1593           42304     nan       nan       nan       nan       1000      45        
node_9         topic_10       102400    1594           0         1594           43012     nan       nan       nan       nan       1000      45        
node_9         topic_11       102400    1593           0         1593           42306     nan       nan       nan       nan       1000      45        
