node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    23098          0         23098          21146     nan       nan       nan       nan       1000      45        
node_0         topic_9        102400    23100          0         23100          21495     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    23100          0         23100          21144     nan       nan       nan       nan       1000      45        
node_1         topic_9        102400    23101          0         23101          21494     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    23097          0         23097          21147     nan       nan       nan       nan       1000      45        
node_2         topic_9        102400    23097          0         23097          21498     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    23100          0         23100          21145     nan       nan       nan       nan       1000      45        
node_3         topic_9        102400    23101          0         23101          21494     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    23095          0         23095          21148     nan       nan       nan       nan       1000      45        
node_4         topic_9        102400    23097          0         23097          21498     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    23091          0         23091          21147     nan       nan       nan       nan       1000      45        
node_5         topic_9        102400    23090          0         23090          21504     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    23099          0         23099          21145     nan       nan       nan       nan       1000      45        
node_6         topic_9        102400    23100          0         23100          21494     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    23099          0         23099          21145     nan       nan       nan       nan       1000      45        
node_7         topic_9        102400    23100          0         23100          21494     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    23099          0         23099          21145     nan       nan       nan       nan       1000      45        
node_8         topic_9        102400    23100          0         23100          21494     nan       nan       nan       nan       1000      45        
