node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    43483          25326     18157          1413      555       184       331       996       1000      45        
node_0         topic_8        102400    43470          20797     22673          1310      772       160       332       999       1000      45        
node_1         topic_7        102400    43373          23319     20054          1523      613       163       341       996       1000      45        
node_1         topic_8        102400    43394          14357     29037          1386      815       134       408       1000      1000      45        
node_2         topic_7        102400    43409          21867     21542          1487      682       138       412       993       1000      45        
node_2         topic_8        102400    43392          10896     32496          1388      824       129       435       1000      1000      45        
node_3         topic_7        102400    43424          20256     23168          1472      726       123       458       999       1000      45        
node_3         topic_8        102400    43402          10968     32434          1378      785       166       363       1000      1000      45        
node_4         topic_7        102400    43398          20167     23231          1497      685       134       376       996       1000      45        
node_4         topic_8        102400    43385          7352      36033          1394      773       150       387       999       1000      45        
node_5         topic_7        102400    43487          19183     24304          1408      739       109       398       998       1000      45        
node_5         topic_8        102400    43463          5343      38120          1316      779       121       448       1000      1000      45        
node_6         topic_7        102400    43347          17755     25592          1548      802       86        438       998       1000      45        
node_6         topic_8        102400    43322          4168      39154          1458      814       91        496       999       1000      45        
