node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    44803          41962     2841           120       741       90        363       978       1000      45        
node_0         topic_7        102400    44775          42591     2184           128       517       102       346       999       1000      45        
node_1         topic_6        102400    44779          41882     2897           144       755       117       303       1000      1000      45        
node_1         topic_7        102400    44776          42433     2343           127       418       127       297       1000      1000      45        
node_2         topic_6        102400    44767          40930     3837           156       798       90        345       1000      1000      45        
node_2         topic_7        102400    44724          41743     2981           179       561       95        329       1000      1000      45        
node_3         topic_6        102400    44778          39042     5736           145       837       81        421       1000      1000      45        
node_3         topic_7        102400    44793          42043     2750           110       645       99        379       1000      1000      45        
node_4         topic_6        102400    44771          37125     7646           152       858       80        337       1000      1000      45        
node_4         topic_7        102400    44759          41466     3293           144       668       76        358       1000      1000      45        
node_5         topic_6        102400    44787          26997     17790          136       884       69        440       1000      1000      45        
node_5         topic_7        102400    44754          39817     4937           148       748       80        474       1000      1000      45        
