node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    44892          43543     1349           58        407       140       260       998       1000      45        
node_0         topic_6        102400    44888          43538     1350           56        611       101       293       1000      1000      45        
node_1         topic_5        102400    44865          43035     1830           85        501       115       304       996       1000      45        
node_1         topic_6        102400    44861          43273     1588           83        658       87        307       1000      1000      45        
node_2         topic_5        102400    44893          43441     1452           57        561       105       354       998       1000      45        
node_2         topic_6        102400    44887          43433     1454           57        651       145       274       1000      1000      45        
node_3         topic_5        102400    44909          43487     1422           41        610       98        349       998       1000      45        
node_3         topic_6        102400    44899          43522     1377           45        721       85        350       1000      1000      45        
node_4         topic_5        102400    44834          42790     2044           116       649       94        331       998       1000      45        
node_4         topic_6        102400    44885          42285     2600           59        763       78        359       1000      1000      45        
