node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    44767          41365     3402           174       728       55        332       1000      1000      45        
node_0         topic_7        102400    44750          41887     2863           174       393       72        308       996       1000      45        
node_1         topic_6        102400    44695          39197     5498           246       774       55        439       1000      1000      45        
node_1         topic_7        102400    44552          38504     6048           372       519       74        368       1000      1000      45        
node_2         topic_6        102400    44652          39265     5387           289       797       55        439       1000      1000      45        
node_2         topic_7        102400    44649          40571     4078           275       585       81        357       997       1000      45        
node_3         topic_6        102400    44757          37967     6790           184       835       53        542       1000      1000      45        
node_3         topic_7        102400    44757          41512     3245           167       642       79        387       994       1000      45        
node_4         topic_6        102400    44719          34093     10626          222       868       54        586       1000      1000      45        
node_4         topic_7        102400    44706          41165     3541           218       698       77        406       998       1000      45        
node_5         topic_6        102400    44724          28734     15990          217       891       62        471       1000      1000      45        
node_5         topic_7        102400    44677          40566     4111           247       677       120       343       1000      1000      45        
