node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    1928           0         1928           41710     nan       nan       nan       nan       1000      45        
node_0         topic_11       102400    1927           0         1927           40866     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    1927           0         1927           41719     nan       nan       nan       nan       1000      45        
node_1         topic_11       102400    1925           0         1925           40873     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    1927           0         1927           41696     nan       nan       nan       nan       1000      45        
node_2         topic_11       102400    1926           0         1926           40847     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    1923           0         1923           41701     nan       nan       nan       nan       1000      45        
node_3         topic_11       102400    1926           0         1926           40850     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    1918           0         1918           41706     nan       nan       nan       nan       1000      45        
node_4         topic_11       102400    1926           0         1926           40850     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    1913           0         1913           41712     nan       nan       nan       nan       1000      45        
node_5         topic_11       102400    1925           0         1925           40851     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    1926           0         1926           41710     nan       nan       nan       nan       1000      45        
node_6         topic_11       102400    1924           0         1924           40864     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    1925           0         1925           41712     nan       nan       nan       nan       1000      45        
node_7         topic_11       102400    1926           0         1926           40862     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    1919           0         1919           41718     nan       nan       nan       nan       1000      45        
node_8         topic_11       102400    1923           0         1923           40865     nan       nan       nan       nan       1000      45        
node_9         topic_10       102400    1922           0         1922           41716     nan       nan       nan       nan       1000      45        
node_9         topic_11       102400    1924           0         1924           40864     nan       nan       nan       nan       1000      45        
