node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    19110          0         19110          25036     nan       nan       nan       nan       1000      45        
node_0         topic_9        102400    19110          0         19110          25451     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    19110          0         19110          25036     nan       nan       nan       nan       1000      45        
node_1         topic_9        102400    19111          0         19111          25450     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    19110          0         19110          25036     nan       nan       nan       nan       1000      45        
node_2         topic_9        102400    19110          0         19110          25452     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    19110          0         19110          25036     nan       nan       nan       nan       1000      45        
node_3         topic_9        102400    19108          0         19108          25454     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    19110          0         19110          25037     nan       nan       nan       nan       1000      45        
node_4         topic_9        102400    19110          0         19110          25452     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    19110          0         19110          25037     nan       nan       nan       nan       1000      45        
node_5         topic_9        102400    19110          0         19110          25452     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    19110          0         19110          25037     nan       nan       nan       nan       1000      45        
node_6         topic_9        102400    19111          0         19111          25451     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    19109          0         19109          25036     nan       nan       nan       nan       1000      45        
node_7         topic_9        102400    19109          0         19109          25452     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    19109          0         19109          25036     nan       nan       nan       nan       1000      45        
node_8         topic_9        102400    19109          0         19109          25452     nan       nan       nan       nan       1000      45        
