node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    44861          43708     1153           86        463       91        301       999       1000      45        
node_0         topic_6        102400    44828          43548     1280           108       414       61        299       997       1000      45        
node_1         topic_5        102400    44874          43583     1291           70        341       78        259       993       1000      45        
node_1         topic_6        102400    44833          43340     1493           103       357       69        254       1000      1000      45        
node_2         topic_5        102400    44766          43261     1505           177       492       68        296       1000      1000      45        
node_2         topic_6        102400    44760          43097     1663           172       436       66        295       998       1000      45        
node_3         topic_5        102400    44884          43598     1286           63        550       59        299       997       1000      45        
node_3         topic_6        102400    44838          43450     1388           98        493       62        345       999       1000      45        
node_4         topic_5        102400    44807          42986     1821           136       614       65        358       1000      1000      45        
node_4         topic_6        102400    44812          43020     1792           120       509       71        317       1000      1000      45        
