node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4482           0         4482           39126     nan       nan       nan       nan       1000      45        
node_0         topic_11       102400    4479           0         4479           37344     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    4486           0         4486           39122     nan       nan       nan       nan       1000      45        
node_1         topic_11       102400    4483           0         4483           37341     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    4471           0         4471           39137     nan       nan       nan       nan       1000      45        
node_2         topic_11       102400    4469           0         4469           37356     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    4470           0         4470           39138     nan       nan       nan       nan       1000      45        
node_3         topic_11       102400    4479           0         4479           37346     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    4485           0         4485           39123     nan       nan       nan       nan       1000      45        
node_4         topic_11       102400    4474           0         4474           37351     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    4477           0         4477           39133     nan       nan       nan       nan       1000      45        
node_5         topic_11       102400    4472           0         4472           37353     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    4481           0         4481           39125     nan       nan       nan       nan       1000      45        
node_6         topic_11       102400    4482           0         4482           37339     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    4479           0         4479           39127     nan       nan       nan       nan       1000      45        
node_7         topic_11       102400    4466           0         4466           37355     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    4469           0         4469           39137     nan       nan       nan       nan       1000      45        
node_8         topic_11       102400    4472           0         4472           37351     nan       nan       nan       nan       1000      45        
node_9         topic_10       102400    4474           0         4474           39132     nan       nan       nan       nan       1000      45        
node_9         topic_11       102400    4464           0         4464           37359     nan       nan       nan       nan       1000      45        
