node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    44825          42382     2443           127       388       84        297       997       1000      45        
node_0         topic_7        102400    44806          42188     2618           123       430       74        298       992       1000      45        
node_1         topic_6        102400    44796          41648     3148           156       518       68        314       999       1000      45        
node_1         topic_7        102400    44771          41447     3324           158       500       87        340       999       1000      45        
node_2         topic_6        102400    44745          40861     3884           207       580       68        346       997       1000      45        
node_2         topic_7        102400    44778          41325     3453           151       543       90        369       999       1000      45        
node_3         topic_6        102400    44727          40861     3866           218       638       70        368       998       1000      45        
node_3         topic_7        102400    44732          40911     3821           191       557       104       310       1000      1000      45        
node_4         topic_6        102400    44841          41794     3047           111       694       70        395       998       1000      45        
node_4         topic_7        102400    44804          41497     3307           124       627       92        406       1000      1000      45        
node_5         topic_6        102400    44769          41025     3744           183       750       69        505       1000      1000      45        
node_5         topic_7        102400    44738          40865     3873           190       693       85        414       1000      1000      45        
