node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    4501           5         6              0         498       156       341       8511      100       45        
node_0         topic_7        102400    4501           4         1              0         571       160       388       4585      100       45        
node_1         topic_6        102400    4501           8         6              0         612       134       404       4114      100       45        
node_1         topic_7        102400    4501           9         1              0         706       193       458       4699      100       45        
node_2         topic_6        102400    4501           7         6              0         558       114       392       3320      100       45        
node_2         topic_7        102400    4501           6         1              0         629       169       435       4752      100       45        
node_3         topic_6        102400    4501           6         6              0         586       118       432       4363      100       45        
node_3         topic_7        102400    4492           7         1              9         660       177       472       4879      100       45        
node_4         topic_6        102400    4501           8         6              0         625       129       467       4484      100       45        
node_4         topic_7        102400    4492           9         2              9         704       184       490       4930      100       45        
node_5         topic_6        102400    4501           6         7              0         661       123       489       4571      100       45        
node_5         topic_7        102400    4501           9         1              0         750       192       537       4976      100       45        
