node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    4501           0         0              0         641       127       357       1161      100       45        
node_0         topic_6        102400    4501           0         0              0         599       121       349       1160      100       45        
node_1         topic_5        102400    4501           0         0              0         705       140       387       1243      100       45        
node_1         topic_6        102400    4501           0         0              0         645       135       368       1952      100       45        
node_2         topic_5        102400    4501           0         0              0         648       140       328       1132      100       45        
node_2         topic_6        102400    4501           0         5              0         619       146       352       1429      100       45        
node_3         topic_5        102400    4501           0         7              0         745       144       408       1382      100       45        
node_3         topic_6        102400    4501           0         5              0         691       140       442       1455      100       45        
node_4         topic_5        102400    4501           0         0              0         725       144       374       1284      100       45        
node_4         topic_6        102400    4501           0         6              0         732       146       474       1311      100       45        
