node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4501           1         0              0         637       93        463       2239      100       45        
node_0         topic_9        102400    4501           0         0              0         586       63        445       1288      100       45        
node_1         topic_10       102400    4501           1         0              0         787       108       568       2316      100       45        
node_1         topic_9        102400    4501           0         0              0         650       56        508       1308      100       45        
node_2         topic_10       102400    4501           1         0              0         696       87        519       2376      100       45        
node_2         topic_9        102400    4501           1         0              0         673       58        544       2078      100       45        
node_3         topic_10       102400    4501           1         0              0         717       89        563       2406      100       45        
node_3         topic_9        102400    4501           1         0              0         733       67        578       2165      100       45        
node_4         topic_10       102400    4501           1         0              0         760       88        602       2437      100       45        
node_4         topic_9        102400    4501           0         0              0         758       64        600       1714      100       45        
node_5         topic_10       102400    4501           1         0              0         836       93        659       2468      100       45        
node_5         topic_9        102400    4501           0         0              0         788       66        623       1771      100       45        
node_6         topic_10       102400    4501           1         0              0         816       93        629       2499      100       45        
node_6         topic_9        102400    4501           0         0              0         756       68        570       1476      100       45        
node_7         topic_10       102400    4501           1         6              0         879       91        706       2529      100       45        
node_7         topic_9        102400    4501           0         0              0         828       63        670       1858      100       45        
node_8         topic_10       102400    4501           1         0              0         891       96        684       2560      100       45        
node_8         topic_9        102400    4501           0         0              0         856       66        694       1885      100       45        
