node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    4501           11        0              0         595       228       339       4772      100       45        
node_0         topic_7        102400    4501           19        3              0         637       235       403       4198      100       45        
node_1         topic_6        102400    4501           20        3              0         648       240       404       3127      100       45        
node_1         topic_7        102400    4501           24        0              0         691       274       428       7030      100       45        
node_2         topic_6        102400    4501           26        5              0         698       260       425       3839      100       45        
node_2         topic_7        102400    4501           26        0              0         723       278       451       7281      100       45        
node_3         topic_6        102400    4501           30        3              0         703       277       433       4642      100       45        
node_3         topic_7        102400    4501           33        8              0         757       276       505       4369      100       45        
node_4         topic_6        102400    4501           29        8              0         750       268       466       4837      100       45        
node_4         topic_7        102400    4501           37        8              0         793       282       534       4440      100       45        
node_5         topic_6        102400    4501           38        5              0         783       265       488       3078      100       45        
node_5         topic_7        102400    4501           35        5              0         826       286       556       7333      100       45        
