node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    4501           7         0              0         554       174       347       4541      100       45        
node_0         topic_7        102400    4500           4         0              0         589       173       393       3683      100       45        
node_1         topic_6        102400    4501           9         3              0         609       183       384       4640      100       45        
node_1         topic_7        102400    4500           8         0              0         681       206       450       6036      100       45        
node_2         topic_6        102400    4498           11        1              3         653       184       440       4691      100       45        
node_2         topic_7        102400    4500           10        0              0         718       196       486       4259      100       45        
node_3         topic_6        102400    4498           15        1              3         693       200       463       4883      100       45        
node_3         topic_7        102400    4497           7         0              3         665       197       429       4376      100       45        
node_4         topic_6        102400    4498           17        0              3         664       205       435       4742      100       45        
node_4         topic_7        102400    4497           11        1              3         700       202       439       4472      100       45        
node_5         topic_6        102400    4501           19        0              0         732       208       457       4927      100       45        
node_5         topic_7        102400    4500           18        0              0         779       213       550       5094      100       45        
