node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4501           3         0              0         605       84        474       3362      100       45        
node_0         topic_11       102400    4501           1         0              0         655       75        481       2038      100       45        
node_1         topic_10       102400    4501           2         0              0         676       78        542       3473      100       45        
node_1         topic_11       102400    4501           1         0              0         722       72        557       2123      100       45        
node_2         topic_10       102400    4501           2         0              0         702       76        584       3514      100       45        
node_2         topic_11       102400    4501           1         0              0         736       65        596       2428      100       45        
node_3         topic_10       102400    4501           3         0              0         740       81        608       3554      100       45        
node_3         topic_11       102400    4501           0         2              0         776       60        608       1743      100       45        
node_4         topic_10       102400    4501           4         0              0         793       89        647       3679      100       45        
node_4         topic_11       102400    4501           1         0              0         841       71        685       2461      100       45        
node_5         topic_10       102400    4501           4         0              0         819       93        670       3721      100       45        
node_5         topic_11       102400    4501           0         2              0         869       70        714       1903      100       45        
node_6         topic_10       102400    4501           4         0              0         847       94        692       3760      100       45        
node_6         topic_11       102400    4501           1         2              0         898       73        709       2078      100       45        
node_7         topic_10       102400    4501           4         0              0         848       88        659       3801      100       45        
node_7         topic_11       102400    4501           0         2              0         922       72        732       1927      100       45        
node_8         topic_10       102400    4501           3         0              0         881       87        694       3841      100       45        
node_8         topic_11       102400    4501           1         0              0         905       82        684       2590      100       45        
node_9         topic_10       102400    4501           3         0              0         910       86        719       3882      100       45        
node_9         topic_11       102400    4501           1         0              0         935       81        703       2630      100       45        
