node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    4501           0         0              0         532       114       360       1515      100       45        
node_0         topic_8        102400    4501           1         0              0         566       107       397       2060      100       45        
node_1         topic_7        102400    4501           0         0              0         618       121       443       1711      100       45        
node_1         topic_8        102400    4501           1         0              0         648       119       471       2119      100       45        
node_2         topic_7        102400    4501           0         0              0         618       114       427       1626      100       45        
node_2         topic_8        102400    4501           1         0              0         704       121       511       2147      100       45        
node_3         topic_7        102400    4499           0         0              2         675       127       488       1756      100       45        
node_3         topic_8        102400    4501           1         0              0         733       124       541       2271      100       45        
node_4         topic_7        102400    4499           0         0              2         642       118       474       1671      100       45        
node_4         topic_8        102400    4501           1         0              0         641       116       456       2174      100       45        
node_5         topic_7        102400    4499           0         0              2         707       123       531       1793      100       45        
node_5         topic_8        102400    4501           1         0              0         674       118       488       2201      100       45        
node_6         topic_7        102400    4501           0         0              0         733       124       568       1830      100       45        
node_6         topic_8        102400    4501           1         0              0         765       117       608       2299      100       45        
