node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_4        102400    4501           0         0              0         577       108       300       1151      100       45        
node_0         topic_5        102400    4501           0         5              0         587       103       333       1626      100       45        
node_1         topic_4        102400    4501           0         0              0         633       112       357       1271      100       45        
node_1         topic_5        102400    4501           0         5              0         633       103       369       1650      100       45        
node_2         topic_4        102400    4501           1         7              0         648       116       341       2244      100       45        
node_2         topic_5        102400    4501           0         5              0         664       105       399       1672      100       45        
node_3         topic_4        102400    4501           0         7              0         684       118       379       1320      100       45        
node_3         topic_5        102400    4501           0         6              0         691       107       404       1155      100       45        
