node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    4501           0         0              0         543       100       378       1464      100       45        
node_0         topic_8        102400    4501           1         0              0         574       104       405       2181      100       45        
node_1         topic_7        102400    4501           0         0              0         623       102       449       1557      100       45        
node_1         topic_8        102400    4501           2         0              0         621       105       458       2286      100       45        
node_2         topic_7        102400    4501           1         3              0         661       115       477       2614      100       45        
node_2         topic_8        102400    4501           2         0              0         656       110       481       2325      100       45        
node_3         topic_7        102400    4501           0         0              0         643       101       432       1581      100       45        
node_3         topic_8        102400    4501           1         5              0         662       111       452       2355      100       45        
node_4         topic_7        102400    4501           0         0              0         651       107       465       1652      100       45        
node_4         topic_8        102400    4501           2         5              0         716       111       554       2383      100       45        
node_5         topic_7        102400    4501           1         3              0         722       112       545       2643      100       45        
node_5         topic_8        102400    4501           2         5              0         754       116       578       2414      100       45        
node_6         topic_7        102400    4501           1         3              0         744       111       566       2670      100       45        
node_6         topic_8        102400    4501           2         5              0         773       113       602       2448      100       45        
