node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_8        102400    4501           1         0              0         557       89        394       2484      100       45        
node_0         topic_9        102400    4501           0         0              0         601       93        417       1661      100       45        
node_1         topic_8        102400    4501           1         0              0         622       89        477       2549      100       45        
node_1         topic_9        102400    4501           0         0              0         657       97        478       1702      100       45        
node_2         topic_8        102400    4501           1         0              0         640       87        500       2578      100       45        
node_2         topic_9        102400    4501           0         0              0         673       93        527       1726      100       45        
node_3         topic_8        102400    4501           1         5              0         708       97        530       2385      100       45        
node_3         topic_9        102400    4501           0         0              0         706       92        554       1750      100       45        
node_4         topic_8        102400    4501           1         5              0         688       87        546       2432      100       45        
node_4         topic_9        102400    4501           0         0              0         764       99        594       1873      100       45        
node_5         topic_8        102400    4501           1         5              0         735       90        570       2474      100       45        
node_5         topic_9        102400    4501           1         8              0         774       97        607       2210      100       45        
node_6         topic_8        102400    4501           1         5              0         770       93        600       2520      100       45        
node_6         topic_9        102400    4501           1         8              0         814       100       643       2240      100       45        
node_7         topic_8        102400    4501           1         5              0         780       93        623       2564      100       45        
node_7         topic_9        102400    4501           1         8              0         821       101       631       2268      100       45        
