node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_2        102400    4500           0         9              1         451       63        225       1869      100       45        
node_0         topic_3        102400    4499           0         9              1         452       60        231       1535      100       45        
node_1         topic_2        102400    4500           0         9              1         488       62        238       1892      100       45        
node_1         topic_3        102400    4499           0         9              1         490       59        256       1557      100       45        
