node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4501           0         0              0         807       174       502       1328      100       45        
node_1         topic_10       102400    4501           0         0              0         881       183       567       1555      100       45        
node_2         topic_10       102400    4501           0         0              0         911       185       608       1430      100       45        
node_3         topic_10       102400    4501           0         0              0         991       190       643       1546      100       45        
node_4         topic_10       102400    4501           2         5              0         1020      192       666       2467      100       45        
node_5         topic_10       102400    4501           1         5              0         1045      194       690       2494      100       45        
node_6         topic_10       102400    4501           1         5              0         1065      192       714       2520      100       45        
node_7         topic_10       102400    4501           2         5              0         1005      202       647       2384      100       45        
node_8         topic_10       102400    4501           1         0              0         1069      199       701       2410      100       45        
node_9         topic_10       102400    4501           2         5              0         1107      197       745       2413      100       45        
