node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    4501           0         0              0         681       58        369       1115      100       45        
node_1         topic_5        102400    4501           0         0              0         743       67        407       1169      100       45        
node_2         topic_5        102400    4501           0         0              0         781       68        452       1207      100       45        
node_3         topic_5        102400    4501           0         0              0         819       70        473       1309      100       45        
node_4         topic_5        102400    4501           0         0              0         797       70        448       1272      100       45        
