node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_9        102400    4500           0         0              0         805       171       466       1461      100       45        
node_1         topic_9        102400    4500           0         0              0         878       181       530       1558      100       45        
node_2         topic_9        102400    4500           0         0              0         932       187       576       1729      100       45        
node_3         topic_9        102400    4500           0         0              0         925       182       580       1770      100       45        
node_4         topic_9        102400    4500           0         0              0         990       187       619       1800      100       45        
node_5         topic_9        102400    4498           0         0              2         1014      188       641       1851      100       45        
node_6         topic_9        102400    4498           0         0              2         1041      188       664       1889      100       45        
node_7         topic_9        102400    4498           0         0              2         1069      189       687       1955      100       45        
node_8         topic_9        102400    4500           0         0              0         1095      191       709       1982      100       45        
