node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    4500           0         0              0         804       180       503       1718      100       45        
node_1         topic_10       102400    4500           0         0              0         875       187       582       1251      100       45        
node_2         topic_10       102400    4500           0         0              0         907       190       609       1311      100       45        
node_3         topic_10       102400    4500           0         0              0         948       191       639       1360      100       45        
node_4         topic_10       102400    4500           0         3              0         1001      194       670       1703      100       45        
node_5         topic_10       102400    4500           1         0              0         1024      203       693       5324      100       45        
node_6         topic_10       102400    4500           0         3              0         1034      193       702       1588      100       45        
node_7         topic_10       102400    4500           0         0              0         1058      194       717       1490      100       45        
node_8         topic_10       102400    4500           1         3              0         1094      196       760       2836      100       45        
node_9         topic_10       102400    4500           0         3              0         1109      193       783       1752      100       45        
