node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_3        102400    4500           0         0              0         545       46        281       1235      100       45        
node_1         topic_3        102400    4500           0         0              0         595       47        330       1375      100       45        
node_2         topic_3        102400    4500           0         0              0         621       46        363       1478      100       45        
