node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    2092           0         2092           42411     nan       nan       nan       nan       1000      45        
node_0         topic_11       102400    2091           0         2091           41991     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    2092           0         2092           42412     nan       nan       nan       nan       1000      45        
node_1         topic_11       102400    2091           0         2091           41992     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    2092           0         2092           42414     nan       nan       nan       nan       1000      45        
node_2         topic_11       102400    2091           0         2091           41995     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    2092           0         2092           42415     nan       nan       nan       nan       1000      45        
node_3         topic_11       102400    2091           0         2091           41996     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    2092           0         2092           42416     nan       nan       nan       nan       1000      45        
node_4         topic_11       102400    2090           0         2090           41975     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    2091           0         2091           42397     nan       nan       nan       nan       1000      45        
node_5         topic_11       102400    2090           0         2090           41978     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    2091           0         2091           42400     nan       nan       nan       nan       1000      45        
node_6         topic_11       102400    2090           0         2090           41983     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    2091           0         2091           42404     nan       nan       nan       nan       1000      45        
node_7         topic_11       102400    2090           0         2090           41986     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    2091           0         2091           42407     nan       nan       nan       nan       1000      45        
node_8         topic_11       102400    2090           0         2090           41988     nan       nan       nan       nan       1000      45        
node_9         topic_10       102400    2091           0         2091           42409     nan       nan       nan       nan       1000      45        
node_9         topic_11       102400    2090           0         2090           41990     nan       nan       nan       nan       1000      45        
