node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_3        102400    44956          44797     159            12        357       56        229       1000      1000      45        
node_0         topic_4        102400    44885          44685     200            80        428       47        235       989       1000      45        
node_1         topic_3        102400    44960          44869     91             8         403       48        241       973       1000      45        
node_1         topic_4        102400    44890          44718     172            75        459       40        246       952       1000      45        
node_2         topic_3        102400    44965          44888     77             3         298       88        210       973       1000      45        
node_2         topic_4        102400    44899          44722     177            67        473       67        212       996       1000      45        
