node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_3        102400    44129          40692     3437           447       305       68        204       998       1000      45        
node_0         topic_4        102400    43964          40838     3125           401       311       68        187       1000      1000      45        
node_1         topic_3        102400    44044          40286     3714           532       311       69        188       997       1000      45        
node_1         topic_4        102400    43968          40872     3096           397       405       72        233       1000      1000      45        
node_2         topic_3        102400    44062          40270     3792           514       374       71        209       999       1000      45        
node_2         topic_4        102400    43865          40446     3419           500       495       96        236       1000      1000      45        
