node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    44866          43520     1346           64        646       53        264       999       1000      45        
node_0         topic_6        102400    44861          43684     1177           58        351       64        276       988       1000      45        
node_1         topic_5        102400    44827          42759     2068           103       687       49        341       1000      1000      45        
node_1         topic_6        102400    44840          43398     1442           79        462       64        308       999       1000      45        
node_2         topic_5        102400    44853          42005     2848           77        722       57        318       1000      1000      45        
node_2         topic_6        102400    44842          43240     1602           77        538       95        332       999       1000      45        
node_3         topic_5        102400    44835          42636     2199           95        752       48        370       1000      1000      45        
node_3         topic_6        102400    44847          43414     1433           72        586       70        372       995       1000      45        
node_4         topic_5        102400    44803          42737     2066           127       783       47        379       999       1000      45        
node_4         topic_6        102400    44863          43431     1432           55        637       64        389       1000      1000      45        
