node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_6        102400    44837          42379     2458           109       548       75        375       999       1000      45        
node_0         topic_7        102400    44804          42061     2743           125       511       60        336       998       1000      45        
node_1         topic_6        102400    44798          42046     2752           148       448       80        300       999       1000      45        
node_1         topic_7        102400    44776          41654     3122           153       557       66        365       1000      1000      45        
node_2         topic_6        102400    44771          41838     2933           175       593       66        300       999       1000      45        
node_2         topic_7        102400    44731          41357     3374           198       575       71        318       999       1000      45        
node_3         topic_6        102400    44743          41605     3138           203       663       55        404       999       1000      45        
node_3         topic_7        102400    44770          41468     3302           159       619       74        356       1000      1000      45        
node_4         topic_6        102400    44764          41374     3390           182       736       63        445       1000      1000      45        
node_4         topic_7        102400    44761          41019     3742           168       683       77        445       1000      1000      45        
node_5         topic_6        102400    44815          40888     3927           131       786       61        457       1000      1000      45        
node_5         topic_7        102400    44808          40997     3811           121       742       77        432       1000      1000      45        
