node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    20971          0         20971          23211     nan       nan       nan       nan       1000      45        
node_0         topic_9        102400    20972          0         20972          23631     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    20971          0         20971          23211     nan       nan       nan       nan       1000      45        
node_1         topic_9        102400    20972          0         20972          23631     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    20969          0         20969          23214     nan       nan       nan       nan       1000      45        
node_2         topic_9        102400    20967          0         20967          23636     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    20971          0         20971          23212     nan       nan       nan       nan       1000      45        
node_3         topic_9        102400    20972          0         20972          23631     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    20971          0         20971          23212     nan       nan       nan       nan       1000      45        
node_4         topic_9        102400    20970          0         20970          23633     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    20971          0         20971          23212     nan       nan       nan       nan       1000      45        
node_5         topic_9        102400    20972          0         20972          23631     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    20971          0         20971          23212     nan       nan       nan       nan       1000      45        
node_6         topic_9        102400    20972          0         20972          23632     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    20971          0         20971          23212     nan       nan       nan       nan       1000      45        
node_7         topic_9        102400    20972          0         20972          23632     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    20969          0         20969          23213     nan       nan       nan       nan       1000      45        
node_8         topic_9        102400    20971          0         20971          23633     nan       nan       nan       nan       1000      45        
