node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    1398           0         1398           43200     nan       nan       nan       nan       1000      45        
node_0         topic_11       102400    1398           0         1398           42629     nan       nan       nan       nan       1000      45        
node_1         topic_10       102400    1399           0         1399           43200     nan       nan       nan       nan       1000      45        
node_1         topic_11       102400    1398           0         1398           42630     nan       nan       nan       nan       1000      45        
node_2         topic_10       102400    1399           0         1399           43202     nan       nan       nan       nan       1000      45        
node_2         topic_11       102400    1398           0         1398           42631     nan       nan       nan       nan       1000      45        
node_3         topic_10       102400    1398           0         1398           43204     nan       nan       nan       nan       1000      45        
node_3         topic_11       102400    1398           0         1398           42632     nan       nan       nan       nan       1000      45        
node_4         topic_10       102400    1399           0         1399           43204     nan       nan       nan       nan       1000      45        
node_4         topic_11       102400    1398           0         1398           42634     nan       nan       nan       nan       1000      45        
node_5         topic_10       102400    1399           0         1399           43206     nan       nan       nan       nan       1000      45        
node_5         topic_11       102400    1398           0         1398           42636     nan       nan       nan       nan       1000      45        
node_6         topic_10       102400    1399           0         1399           43208     nan       nan       nan       nan       1000      45        
node_6         topic_11       102400    1397           0         1397           42621     nan       nan       nan       nan       1000      45        
node_7         topic_10       102400    1398           0         1398           43193     nan       nan       nan       nan       1000      45        
node_7         topic_11       102400    1397           0         1397           42623     nan       nan       nan       nan       1000      45        
node_8         topic_10       102400    1398           0         1398           43195     nan       nan       nan       nan       1000      45        
node_8         topic_11       102400    1397           0         1397           42625     nan       nan       nan       nan       1000      45        
node_9         topic_10       102400    1398           0         1398           43197     nan       nan       nan       nan       1000      45        
node_9         topic_11       102400    1396           0         1396           42628     nan       nan       nan       nan       1000      45        
