node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_3        102400    44890          44556     329            20        279       35        196       992       1000      45        
node_0         topic_4        102400    44847          44556     291            57        290       41        213       993       1000      45        
node_1         topic_3        102400    44810          44452     358            100       317       36        225       979       1000      45        
node_1         topic_4        102400    44771          44478     293            133       387       49        265       999       1000      45        
node_2         topic_3        102400    44869          44355     514            41        348       38        213       998       1000      45        
node_2         topic_4        102400    44822          44421     401            82        434       47        259       987       1000      45        
