node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_7        102400    43749          17718     26031          1158      598       132       356       999       1000      45        
node_0         topic_8        102400    43742          17955     25787          1095      592       145       383       1000      1000      45        
node_1         topic_7        102400    43828          17653     26175          1080      538       175       317       999       1000      45        
node_1         topic_8        102400    43835          18010     25825          1002      598       139       325       1000      1000      45        
node_2         topic_7        102400    43752          16197     27555          1155      685       114       460       1000      1000      45        
node_2         topic_8        102400    43727          16771     26956          1110      645       130       355       1000      1000      45        
node_3         topic_7        102400    43784          15883     27901          1123      725       102       407       999       1000      45        
node_3         topic_8        102400    43779          15427     28352          1058      702       106       436       1000      1000      45        
node_4         topic_7        102400    43807          14980     28827          1100      775       93        493       1000      1000      45        
node_4         topic_8        102400    43818          14474     29344          1019      754       87        475       1000      1000      45        
node_5         topic_7        102400    43727          14585     29142          1180      712       143       336       1000      1000      45        
node_5         topic_8        102400    43710          13835     29875          1127      761       105       411       1000      1000      45        
node_6         topic_7        102400    43670          13591     30079          1237      780       115       348       998       1000      45        
node_6         topic_8        102400    43645          12876     30769          1192      808       92        444       1000      1000      45        
