node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_5        102400    44901          44557     344            33        335       67        273       996       1000      45        
node_0         topic_6        102400    44891          44432     459            38        467       51        290       993       1000      45        
node_1         topic_5        102400    44881          44239     642            53        419       66        291       996       1000      45        
node_1         topic_6        102400    44857          43979     878            72        506       49        331       999       1000      45        
node_2         topic_5        102400    44893          44478     415            41        477       50        315       980       1000      45        
node_2         topic_6        102400    44862          44326     536            67        537       46        373       1000      1000      45        
node_3         topic_5        102400    44915          44434     481            19        543       52        346       998       1000      45        
node_3         topic_6        102400    44885          44226     659            44        571       46        398       1000      1000      45        
node_4         topic_5        102400    44848          44288     560            86        603       58        367       997       1000      45        
node_4         topic_6        102400    44852          44092     760            77        605       46        421       995       1000      45        
