node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44951          44639     312            5         513       63        422       1000      1000      45        
node_1         topic_10       102400    44935          44441     494            20        676       76        554       999       1000      45        
node_2         topic_10       102400    44947          44056     891            8         718       79        591       1000      1000      45        
node_3         topic_10       102400    44932          44351     581            23        662       72        469       999       1000      45        
node_4         topic_10       102400    44940          44569     371            15        712       55        487       998       1000      45        
node_5         topic_10       102400    44939          44103     836            16        765       55        526       1000      1000      45        
node_6         topic_10       102400    44940          43357     1583           15        820       45        578       1000      1000      45        
node_7         topic_10       102400    44929          43104     1825           26        845       44        558       1000      1000      45        
node_8         topic_10       102400    44948          41188     3760           7         881       38        580       1000      1000      45        
node_9         topic_10       102400    44928          37079     7849           27        914       31        714       1000      1000      45        
