node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_10       102400    44834          44213     621            60        516       62        406       1000      1000      45        
node_1         topic_10       102400    44848          44110     738            46        630       50        467       1000      1000      45        
node_2         topic_10       102400    44858          43875     983            36        704       68        519       1000      1000      45        
node_3         topic_10       102400    44792          43217     1575           102       739       67        600       1000      1000      45        
node_4         topic_10       102400    44808          44102     706            86        720       55        507       1000      1000      45        
node_5         topic_10       102400    44826          43420     1406           68        772       52        526       1000      1000      45        
node_6         topic_10       102400    44810          43536     1274           84        817       43        578       1000      1000      45        
node_7         topic_10       102400    44796          42018     2778           98        855       40        605       1000      1000      45        
node_8         topic_10       102400    44806          40262     4544           88        885       36        628       1000      1000      45        
node_9         topic_10       102400    44799          36302     8497           95        916       31        702       1000      1000      45        
