node           topic          size[b]   received[#]    late[#]   too_late[#]    lost[#]   mean[us]  sd[us]    min[us]   max[us]   freq[hz]  duration[s]
node_0         topic_8        102400    44937          44787     150            12        438       43        366       968       1000      45        
node_1         topic_8        102400    44919          44750     169            29        537       40        425       958       1000      45        
node_2         topic_8        102400    44931          44740     191            17        606       56        505       999       1000      45        
node_3         topic_8        102400    44942          44776     166            6         602       45        436       982       1000      45        
node_4         topic_8        102400    44944          44700     244            4         652       42        489       998       1000      45        
node_5         topic_8        102400    44901          44626     275            47        691       40        563       999       1000      45        
node_6         topic_8        102400    44914          44573     341            34        727       41        590       1000      1000      45        
node_7         topic_8        102400    44891          44491     400            57        760       40        634       1000      1000      45        
